id,sold_price,sold_datetime
3,8497.0,2021-01-22 19:13:05.189547
7,8387.0,2021-02-04 01:18:59.769822
12,,
13,8660.0,2021-02-01 10:12:27.783674
14,9456.0,2021-01-20 14:12:07.787134
17,10025.0,2021-01-17 11:04:37.177193
18,,
24,7479.0,2021-01-15 21:09:18.478490
27,9256.0,2021-01-25 21:03:53.537639
36,,
53,9662.0,2021-01-18 16:49:18.667153
54,,
55,10050.0,2021-01-24 20:26:14.573638
58,,
65,8166.0,2021-01-07 08:14:13.813651
69,,
70,7652.0,2021-01-11 01:58:38.580300
72,8941.0,2021-02-09 21:34:59.464531
73,6482.0,2021-01-27 16:09:30.837470
80,10951.0,2021-02-02 06:44:12.154460
81,6069.0,2021-01-26 03:17:00.953100
83,8178.0,2021-01-23 07:09:40.368444
86,9270.0,2021-01-23 09:29:56.366893
89,9834.0,2021-01-13 13:19:12.691385
93,,
94,9032.0,2021-01-20 23:03:23.908708
100,6693.0,2021-01-28 10:33:28.596407
101,9448.0,2021-01-20 13:42:51.423243
102,9208.0,2021-01-23 07:06:50.460518
103,8921.0,2021-01-16 08:18:34.726428
104,9005.0,2021-01-15 04:29:03.642913
111,8948.0,2021-01-16 10:39:41.594439
115,8660.0,2021-01-21 09:21:51.594666
117,9559.0,2021-01-28 16:00:10.583949
121,8682.0,2021-02-02 11:13:29.239926
138,9373.0,2021-02-02 17:10:38.942012
140,,
142,9722.0,2021-01-26 16:20:23.617954
151,8564.0,2021-01-04 22:17:47.442254
155,9030.0,2021-01-17 19:20:58.976496
156,7036.0,2021-01-19 12:13:53.187130
157,,
166,8610.0,2021-02-02 12:09:57.646628
171,7427.0,2021-01-28 13:27:28.396042
172,6796.0,2021-01-22 22:42:22.486432
176,7154.0,2021-01-13 08:25:41.440820
178,,
182,8321.0,2021-02-16 23:59:39.423715
188,9310.0,2021-01-21 00:47:55.782853
190,,
193,7249.0,2021-01-06 04:13:22.602584
195,9693.0,2021-01-26 00:29:03.058059
197,6001.0,2021-01-30 15:26:07.493114
203,,
204,,
224,6667.0,2021-02-13 13:05:58.295782
226,,
228,7398.0,2021-01-17 22:27:53.342191
229,7641.0,2021-01-31 10:13:34.309317
230,6052.0,2021-02-03 22:06:43.673287
231,8521.0,2021-01-25 09:07:57.503991
232,7208.0,2021-02-14 12:11:02.359370
236,7434.0,2021-01-20 17:44:03.317243
241,6649.0,2021-01-31 19:13:44.342078
242,7394.0,2021-01-27 18:20:01.721446
250,7299.0,2021-01-17 13:23:53.323275
252,7722.0,2021-01-25 04:24:31.618506
256,7899.0,2021-01-27 12:35:31.557165
